title,text,prep_text,source
2025-06.30 (월),2025-1학기 성적 이관일,2025 1학기 성적 이관일,2025년 학사 일정
2025-07.07 (월) ~ 2025-07.13 (일),2025-2학기 복학 신청 기간,2025 2학기 복학 신청 기간,2025년 학사 일정
2025-07.14 (월) ~ 2025-07.18 (금),2025-2학기 (학과->융합자율학부) 소속변경 신청 기간,2025 2학기 학과→융합자율학부 소속변경 신청 기간,2025년 학사 일정
2025-07.14 (월) ~ 2025-07.15 (화),2025-2학기 학사학위취득유예 신청 기간,2025 2학기 학사학위취득유예 신청 기간,2025년 학사 일정
2025-07.14 (월),2025-여름 계절학기 종강일,2025 여름 계절학기 종강일,2025년 학사 일정
2025-07.15 (화),2025-여름 계절학기 성적 이관일,2025 여름 계절학기 성적 이관일,2025년 학사 일정
2025-07.15 (화),2025-여름 계절학기 성적 확인 및 이의신청 기간,2025 여름 계절학기 성적 확인 및 이의신청 기간,2025년 학사 일정
2025-07.16 (수) ~ 2025-07.17 (목),2024-후기(2025년 8월 졸업) 졸업사정 결과조회,2024 후기2025년 8월 졸업 졸업사정 결과조회,2025년 학사 일정
2025-07.21 (월) ~ 2025-07.25 (금),2025-2학기 2차 전공 신청 및 변경 기간,2025 2학기 2차 전공 신청 및 변경 기간,2025년 학사 일정
2025-07.21 (월) ~ 2025-07.25 (금),2025-2학기 자기주도설계전공 신청 기간,2025 2학기 자기주도설계전공 신청 기간,2025년 학사 일정
2025-07.28 (월) ~ 2025-08.03 (일),2025-하계 에코집중휴무기간,2025 하계 에코집중휴무기간,2025년 학사 일정
2025-08.04 (월) ~ 2025-08.07 (목),2025-2학기 수강바구니 신청 기간,2025 2학기 수강바구니 신청 기간,2025년 학사 일정
2025-08.11 (월) ~ 2025-08.12 (화),2025-2학기 수강신청 기간,2025 2학기 수강신청 기간,2025년 학사 일정
2025-08.13 (수),2025-2학기 제한수업 신청 기간,2025 2학기 제한수업 신청 기간,2025년 학사 일정
2025-08.14 (목),2024-후기(2025년 8월 졸업) 학위수여식,2024 후기2025년 8월 졸업 학위수여식,2025년 학사 일정
2025-08.15 (금),광복절,광복절,2025년 학사 일정
2025-08.18 (월) ~ 2025-08.22 (금),2025-2학기 분할납부 신청 기간,2025 2학기 분할납부 신청 기간,2025년 학사 일정
2025-08.18 (월) ~ 2025-08.20 (수),2025-2학기 재학생 등록 기간,2025 2학기 재학생 등록 기간,2025년 학사 일정
2025-08.22 (금),2025-하계방학 종료일,2025 하계방학 종료일,2025년 학사 일정
2025-08.25 (월) ~ 2025-09.19 (금),2025-2학기 2차 교내장학금 신청 기간,2025 2학기 2차 교내장학금 신청 기간,2025년 학사 일정
2025-08.25 (월),2025-2학기 개강일,2025 2학기 개강일,2025년 학사 일정
2025-08.25 (월) ~ 2025-08.29 (금),2025-2학기 대체과목재수강 신청 기간,2025 2학기 대체과목재수강 신청 기간,2025년 학사 일정
2025-08.25 (월) ~ 2025-08.29 (금),2025-2학기 수강신청 변경 기간,2025 2학기 수강신청 변경 기간,2025년 학사 일정
2025-08.27 (수) ~ 2025-08.29 (금),2025-2학기 2차 등록기간 및 1차 분할납부 등록기간,2025 2학기 2차 등록기간 및 1차 분할납부 등록기간,2025년 학사 일정
2025-09.01 (월) ~ 2025-09.05 (금),2025-2학기 조기졸업 신청 기간,2025 2학기 조기졸업 신청 기간,2025년 학사 일정
2025-09.03 (수) ~ 2025-09.05 (금),2025-2학기 초과학기자 등록기간,2025 2학기 초과학기자 등록기간,2025년 학사 일정
2025-09.08 (월) ~ 2025-09.12 (금),2025-2학기 수강과목 철회 기간,2025 2학기 수강과목 철회 기간,2025년 학사 일정
2025-09.23 (화),2025-2학기 수업일수 30일선,2025 2학기 수업일수 30일선,2025년 학사 일정
2025-09.24 (수) ~ 2025-09.26 (금),2025-2학기 2차 분할납부 등록기간,2025 2학기 2차 분할납부 등록기간,2025년 학사 일정
2025-09.24 (수) ~ 2025-10.01 (수),휴학 및 자퇴신청 일시제한,휴학 및 자퇴신청 일시제한,2025년 학사 일정
2025-10.03 (금),개천절,개천절,2025년 학사 일정
2025-10.05 (일) ~ 2025-10.07 (화),추석연휴,추석연휴,2025년 학사 일정
2025-10.08 (수),대체공휴일,대체공휴일,2025년 학사 일정
2025-10.09 (목),한글날,한글날,2025년 학사 일정
2025-10.22 (수) ~ 2025-10.24 (금),2025-2학기 3차 분할납부 등록 기간,2025 2학기 3차 분할납부 등록 기간,2025년 학사 일정
2025-10.23 (목),2025-2학기 수업일수 60일선,2025 2학기 수업일수 60일선,2025년 학사 일정
2025-10.28 (화) ~ 2025-10.29 (수),2025-2학기 워크숍,2025 2학기 워크숍,2025년 학사 일정
2025-11.10 (월) ~ 2025-11.14 (금),2026-1학기 재입학 원서 접수 기간,2026 1학기 재입학 원서 접수 기간,2025년 학사 일정
2025-11.17 (월) ~ 2025-11.21 (금),2025-겨울 계절학기 수강신청 기간,2025 겨울 계절학기 수강신청 기간,2025년 학사 일정
2025-11.17 (월) ~ 2025-12.12 (금),2026-1학기 1차 교내장학금 신청 기간,2026 1학기 1차 교내장학금 신청 기간,2025년 학사 일정
2025-11.17 (월) ~ 2025-11.21 (금),2026-1학기 1차 전공 신청 및 변경 기간,2026 1학기 1차 전공 신청 및 변경 기간,2025년 학사 일정
2025-11.22 (토),2025-2학기 수업일수 90일선,2025 2학기 수업일수 90일선,2025년 학사 일정
2025-12.01 (월) ~ 2025-12.12 (금),2025-2학기 기말고사 기간,2025 2학기 기말고사 기간,2025년 학사 일정
2025-12.01 (월) ~ 2025-12.05 (금),2025-겨울 계절학기 등록 기간,2025 겨울 계절학기 등록 기간,2025년 학사 일정
2025-12.12 (금),2025-2학기 종강일,2025 2학기 종강일,2025년 학사 일정
2025-12.15 (월) ~ 2026-01.08 (목),2025-겨울 계절학기 수업 기간,2025 겨울 계절학기 수업 기간,2025년 학사 일정
2025-12.18 (목) ~ 2025-12.22 (월),2025-2학기 성적 확인 및 이의신청 기간,2025 2학기 성적 확인 및 이의신청 기간,2025년 학사 일정
2025-12.23 (화),2025-2학기 성적 이관일,2025 2학기 성적 이관일,2025년 학사 일정
2025-12.23 (화) ~ 2026-01.09 (금),2025-전기(2026년 2월 졸업) 졸업사정 기간,2025 전기2026년 2월 졸업 졸업사정 기간,2025년 학사 일정
2025-12.24 (수) ~ 2025-12.25 (목),성탄절 휴무,성탄절 휴무,2025년 학사 일정
2025-12.31 (수) ~ 2026-01.01 (목),신정 휴무,신정 휴무,2025년 학사 일정
2026-01.05 (월) ~ 2026-01.09 (금),2026-1학기 복학 신청 기간,2026 1학기 복학 신청 기간,2026년 학사 일정
2026-01.08 (목),2025-겨울 계절학기 종강일,2025 겨울 계절학기 종강일,2026년 학사 일정
2026-01.12 (월),2025-겨울 계절학기 성적 확인 및 이의신청 기간,2025 겨울 계절학기 성적 확인 및 이의신청 기간,2026년 학사 일정
2026-01.12 (월) ~ 2026-01.16 (금),2026-1학기 (학과->융합자율학부) 소속변경 신청 기간,2026 1학기 학과→융합자율학부 소속변경 신청 기간,2026년 학사 일정
2026-01.12 (월) ~ 2026-01.13 (화),2026-1학기 학사학위취득유예 신청 기간,2026 1학기 학사학위취득유예 신청 기간,2026년 학사 일정
2026-01.13 (화),2025-겨울 계절학기 성적 이관일,2025 겨울 계절학기 성적 이관일,2026년 학사 일정
2026-01.14 (수) ~ 2026-01.15 (목),2025-전기(2026년 2월 졸업) 졸업사정 결과조회,2025 전기2026년 2월 졸업 졸업사정 결과조회,2026년 학사 일정
2026-01.19 (월) ~ 2026-01.23 (금),2026-1학기 2차 전공 신청 및 변경 기간,2026 1학기 2차 전공 신청 및 변경 기간,2026년 학사 일정
2026-01.19 (월) ~ 2026-01.22 (목),2026-1학기 수강바구니 신청 기간,2026 1학기 수강바구니 신청 기간,2026년 학사 일정
2026-01.19 (월) ~ 2026-01.23 (금),2026-1학기 자기주도설계전공 신청 기간,2026 1학기 자기주도설계전공 신청 기간,2026년 학사 일정
2026-01.26 (월) ~ 2026-02.01 (일),2025-동계 에코집중휴무기간,2025 동계 에코집중휴무기간,2026년 학사 일정
2026-02.09 (월) ~ 2026-02.10 (화),2026-1학기 수강신청 기간,2026 1학기 수강신청 기간,2026년 학사 일정
2026-02.11 (수),2026-1학기 제한수업 신청 기간,2026 1학기 제한수업 신청 기간,2026년 학사 일정
2026-02.12 (목),2025-전기(2026년 2월 졸업) 학위수여식,2025 전기2026년 2월 졸업 학위수여식,2026년 학사 일정
2026-02.16 (월) ~ 2026-02.18 (수),설 연휴,설 연휴,2026년 학사 일정
2026-02.23 (월) ~ 2026-02.27 (금),2026-1학기 분할납부 신청기간,2026 1학기 분할납부 신청기간,2026년 학사 일정
2026-02.23 (월) ~ 2026-02.25 (수),2026-1학기 재학생 등록기간,2026 1학기 재학생 등록기간,2026년 학사 일정
2026-02.23 (월),2026학년도 신입생 입학식,2026학년도 신입생 입학식,2026년 학사 일정
2026-02.24 (화),2026학년도 신.편입생 수강신청,2026학년도 신.편입생 수강신청,2026년 학사 일정
2026-02.25 (수) ~ 2026-02.26 (목),2026학년도 신입생 새내기배움터,2026학년도 신입생 새내기배움터,2026년 학사 일정
2026-02.27 (금),2025-동계방학 종료일,2025 동계방학 종료일,2026년 학사 일정
2026-03.02 (월),대체공휴일,대체공휴일,2026년 학사 일정
2026-03.03 (화),2026-1학기 개강일,2026 1학기 개강일,2026년 학사 일정
